piece_reference,piece_id,robot_group,piece_file,has_any_valid,valid_count,invalid_count,valid_tools,invalid_tools,best_valid_tool,best_valid_fxmin
W86011517,1,SCARA,SCARA/OUT_cnc/ID1_W86011517.cnc,True,12,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-2091.3290423406293
W86011518,2,ANTHRO,OUT_cnc/ID2_W86011518.cnc,True,6,6,H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool,tool_A;tool_B;tool_A;tool_B;tool_A;tool_B,H04_pos1_tool,-74053.18969722018
W86011519,1,ANTHRO,OUT_cnc/ID1_W86011519.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos0_tool,-37660.59468699603
W86011520,2,ANTHRO,OUT_cnc/ID2_W86011520.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos1_tool,-37163.97186573555
W86027601,4,SCARA,SCARA/OUT_cnc/ID4_W86027601.cnc,False,0,4,,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,
W86027602,1,ANTHRO,OUT_cnc/ID1_W86027602.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos0_tool,-59202.0455600619
W86027603,3,ANTHRO,OUT_cnc/ID3_W86027603.cnc,True,2,2,H04_pos1_tool;tool_B,H04_pos0_tool;tool_A,tool_B,-1711.2247400700676
W86027604,3,ANTHRO,OUT_cnc/ID3_W86027604.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos1_tool,-49438.137167700035
W86027605,2,ANTHRO,OUT_cnc/ID2_W86027605.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos1_tool,-50388.80855787695
W86027615,1,SCARA,SCARA/OUT_cnc/ID1_W86027615.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-3208.837380341354
W86027616,2,SCARA,SCARA/OUT_cnc/ID2_W86027616.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-3209.5476187317217
w56397705,1,ANTHRO,OUT_cnc/ID1_w56397705.cnc,True,4,4,H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool,tool_A;tool_B;tool_A;tool_B,H04_pos0_tool,-59841.526870995076
